Name,Class,Probability
Peptide_1_meanProb_0.998,Toxic,0.869
Peptide_2_meanProb_0.998,Toxic,0.86
Peptide_3_meanProb_0.998,Toxic,0.833
Peptide_4_meanProb_0.998,Toxic,0.857
Peptide_5_meanProb_0.998,Toxic,0.826
Peptide_6_meanProb_0.998,Toxic,0.697
Peptide_7_meanProb_0.998,Toxic,0.855
Peptide_8_meanProb_0.998,Toxic,0.754
Peptide_9_meanProb_0.998,Toxic,0.84
Peptide_10_meanProb_0.998,Toxic,0.774
Peptide_11_meanProb_0.998,Toxic,0.854
Peptide_12_meanProb_0.998,Toxic,0.839
Peptide_13_meanProb_0.998,Toxic,0.84
Peptide_14_meanProb_0.998,Toxic,0.852
Peptide_15_meanProb_0.998,Non-Toxic,0.21
Peptide_16_meanProb_0.998,Toxic,0.681
Peptide_17_meanProb_0.998,Toxic,0.857
Peptide_18_meanProb_0.998,Toxic,0.709
Peptide_19_meanProb_0.998,Toxic,0.705
Peptide_20_meanProb_0.998,Toxic,0.825
Peptide_21_meanProb_0.998,Toxic,0.769
Peptide_22_meanProb_0.998,Non-Toxic,0.137
Peptide_23_meanProb_0.997,Toxic,0.837
Peptide_24_meanProb_0.997,Toxic,0.83
Peptide_25_meanProb_0.997,Toxic,0.709
Peptide_26_meanProb_0.997,Toxic,0.712
Peptide_27_meanProb_0.997,Toxic,0.857
Peptide_28_meanProb_0.997,Toxic,0.716
Peptide_29_meanProb_0.997,Toxic,0.856
Peptide_30_meanProb_0.997,Toxic,0.794
Peptide_31_meanProb_0.997,Non-Toxic,0.53
Peptide_32_meanProb_0.997,Toxic,0.839
Peptide_33_meanProb_0.997,Toxic,0.607
Peptide_34_meanProb_0.997,Non-Toxic,0.534
Peptide_35_meanProb_0.997,Toxic,0.841
Peptide_36_meanProb_0.997,Toxic,0.688
Peptide_37_meanProb_0.997,Toxic,0.856
Peptide_38_meanProb_0.997,Toxic,0.855
Peptide_39_meanProb_0.997,Non-Toxic,0.231
Peptide_40_meanProb_0.997,Non-Toxic,0.524
Peptide_41_meanProb_0.997,Non-Toxic,0.155
Peptide_42_meanProb_0.997,Toxic,0.793
Peptide_43_meanProb_0.997,Non-Toxic,0.371
Peptide_44_meanProb_0.997,Non-Toxic,0.491
Peptide_45_meanProb_0.997,Toxic,0.832
Peptide_46_meanProb_0.997,Toxic,0.545
Peptide_47_meanProb_0.997,Toxic,0.689
Peptide_48_meanProb_0.997,Non-Toxic,0.498
Peptide_49_meanProb_0.997,Toxic,0.824
Peptide_50_meanProb_0.997,Non-Toxic,0.6
